ip;domain;weight;url;file_hash;file_name;http_referrer;http_user_agent;description
;eeeins.com;2;;;;;;Some domain description thay may reach a limit of charachters by this approach we would like to see if this is a problem that may affect the functionaity and wont fit into splunk Current count is 200
175.154.65.131;;48;;;;;;Some IP description
;wompgzsob.com;77;;;;;;Some domain description
;;69;https://btbbdvkiq.com/yvawp;;;;;Some URL description
;;80;https://nkirtmu.com/thxqx;;;;;Some URL description
;;17;https://paediubak.com/qlquu;;;;;Some URL description
;;12;;413016c64586edc7213a9ffcd10c0f69;xpxivwdi.pdf;;;Some file description
;;73;https://nexilhmk.com/keqaj;;;;;Some URL description
;;2;https://nkrbkecmi.com/cygix;;;;;Some URL description
;;78;;9167eb4909fee32959c6d21e8ac14877;zvvhciyx.exe;;;Some file description
;ftvvbklel.com;70;;;;;;Some domain description
;;34;https://msxrk.com/kcczl;;;;;Some URL description
;;38;https://xjyamonvgb.com/yxmca;;;;;Some URL description
;;80;;fc8fa3dfe0403a692068762f89354640;dxjbhbqs.pdf;;;Some file description
;bcbqz.com;68;;;;;;Some domain description
;;36;https://evimsl.com/higxk;;;;;Some URL description
;;16;;8d021936d4e0c5233a56dab135ddc472;mtahysgc.txt;;;Some file description
;;32;https://ebpyllle.com/kzwle;;;;;Some URL description
;;79;;24ac4b78ec819c52ec6cf1de4b585382;jbwwjukl.exe;;;Some file description
;;17;https://bkrvvvoo.com/rkbyq;;;;;Some URL description
;;24;https://ftnmm.com/prnod;;;;;Some URL description
;;52;https://etjahh.com/yfmhr;;;;;Some URL description
;;70;;5d0d26062e19e8291f7fda1e3f9280d4;bovuhkhb.exe;;;Some file description
;tsfseuawl.com;94;;;;;;Some domain description
;;43;https://jwfjn.com/xbkbe;;;;;Some URL description
;;99;;0dfd529033acfb6861e71d2912bf8057;nldajimw.pdf;;;Some file description
;;94;;c5f498946e8173b1f6dbbcf0b7b1c353;meudfvgw.txt;;;Some file description
;;40;https://xsdga.com/vfeab;;;;;Some URL description
148.109.177.108;;42;;;;;;Some IP description
;;67;https://zilylr.com/gsyjb;;;;;Some URL description
;;25;https://mpdrwqwquf.com/elfqc;;;;;Some URL description
;;52;;39a417dc54ee3a05b1b2882e1dfb9db2;esskbaws.txt;;;Some file description
81.215.158.113;;25;;;;;;Some IP description
;ortlyoffnf.com;85;;;;;;Some domain description
;;51;https://dpwnep.com/jicbd;;;;;Some URL description
;vaxrlqxyg.com;89;;;;;;Some domain description
156.215.117.87;;14;;;;;;Some IP description
;vwimt.com;9;;;;;;Some domain description
;;24;https://olgyf.com/lpvhq;;;;;Some URL description
;;30;;b0741ea2c9ff1c753121bbbde643effc;iwdbjsex.exe;;;Some file description
;;43;;c6f3f97a9ca1f153f3af3969a2d7f01b;hjbciotr.exe;;;Some file description
;agraiok.com;17;;;;;;Some domain description
;zpdseer.com;55;;;;;;Some domain description
11.172.220.17;;82;;;;;;Some IP description
;odnul.com;42;;;;;;Some domain description
;;90;https://stkkgbpqo.com/gjtks;;;;;Some URL description
2.200.50.3;;35;;;;;;Some IP description
;;1;https://yvchfz.com/tevjb;;;;;Some URL description
;;12;https://ogbcjxyvvg.com/azmhg;;;;;Some URL description
;xfbfacu.com;14;;;;;;Some domain description
157.212.62.146;;43;;;;;;Some IP description
251.173.245.162;;58;;;;;;Some IP description
110.28.120.76;;20;;;;;;Some IP description
119.89.45.4;;95;;;;;;Some IP description
;;14;;4a4e488a26227dda4b2828064e98cc5f;hiiijjsy.pdf;;;Some file description
;;51;;2c7e3f082dbe8b378df1cb31fd64996a;yjwrzpft.pdf;;;Some file description
;;46;;efdf17c354bdfb30055a2154cd241ed2;beajapso.dll;;;Some file description
;;16;;363b6488437721725f0de47af1312f3f;njyalfhf.dll;;;Some file description
;iunihd.com;64;;;;;;Some domain description
162.180.92.21;;39;;;;;;Some IP description
;;86;;2c231e0cf7ee6c91349ee6b708d67265;uroecqfy.dll;;;Some file description
92.82.137.213;;97;;;;;;Some IP description
;;32;https://zexfokftk.com/ofjyt;;;;;Some URL description
;hnwkqcs.com;49;;;;;;Some domain description
;;13;https://hxdnvasf.com/nlpmd;;;;;Some URL description
;;30;;41e420b2ff77df1a2a51230c8a2e7bd1;mxcydtox.dll;;;Some file description
;;85;;9e2e1795a36bded69396b77cc0722381;aukqjqil.dll;;;Some file description
;;1;https://zlzqfcyjdd.com/bsptr;;;;;Some URL description
;wlywrbxets.com;53;;;;;;Some domain description
;;20;;5b93f309239ae13f22ab4f40dcdab0e5;dlevojyz.pdf;;;Some file description
;;25;;b4a9db18c3bd2c51a5de5f5b3953a939;fzhnmdxh.dll;;;Some file description
;;66;;14da3232effacb7813f1de840f49d0de;wqgzsqbn.exe;;;Some file description
;;72;https://sesmttgp.com/jhwwo;;;;;Some URL description
;;66;https://mfgelltk.com/hvizm;;;;;Some URL description
44.195.243.66;;18;;;;;;Some IP description
;hnwzunski.com;42;;;;;;Some domain description
;;37;https://spjkux.com/eartn;;;;;Some URL description
;;63;;67ecc4be664622942ae55f83c41ac195;ojbczgjb.dll;;;Some file description
;xcquuf.com;36;;;;;;Some domain description
105.172.248.69;;11;;;;;;Some IP description
;;39;;3226f2d64c3d0a104f4b70a0255c4944;wxtsnwgc.dll;;;Some file description
;;84;;6a2c98c0476e46a83f5ecab2b6621c16;bmcmtelv.exe;;;Some file description
;dwejjlos.com;79;;;;;;Some domain description
77.243.96.32;;13;;;;;;Some IP description
51.180.35.86;;57;;;;;;Some IP description
;;79;https://twifuvm.com/lwdoh;;;;;Some URL description
;zmbeh.com;82;;;;;;Some domain description
;ayoplkjom.com;92;;;;;;Some domain description
;uhasi.com;94;;;;;;Some domain description
;cjrgt.com;64;;;;;;Some domain description
;wlkhdwatb.com;17;;;;;;Some domain description
;;49;https://cnapttpim.com/xqjaf;;;;;Some URL description
130.97.137.32;;88;;;;;;Some IP description
61.86.95.183;;16;;;;;;Some IP description
;tfsrvmdtnh.com;74;;;;;;Some domain description
;xbgzf.com;63;;;;;;Some domain description
118.154.160.197;;99;;;;;;Some IP description
;;36;https://ghdsgryvuh.com/ynkro;;;;;Some URL description
;lipwez.com;18;;;;;;Some domain description
;;7;;26c6ccc2b04dbaaf2429c468f1720175;hmigvzqg.dll;;;Some file description
;xqhhdbmv.com;1;;;;;;Some domain description
;kpsekbm.com;68;;;;;;Some domain description
;aylnnhozwu.com;16;;;;;;Some domain description
;;12;;d9b070d240e5cbaf55a04cef33102810;ihbbpibf.pdf;;;Some file description
;;47;;e83b93797b42723916ba6f30c93fea42;bvjxjvwm.pdf;;;Some file description
;;14;https://yfpkijlue.com/grhby;;;;;Some URL description
;vfmledass.com;36;;;;;;Some domain description
;;20;;4e9f944096262c155c475d6ef263aff7;agfduraj.exe;;;Some file description
;ehspzn.com;69;;;;;;Some domain description
173.129.5.46;;42;;;;;;Some IP description
;;80;https://mfksj.com/kzdkz;;;;;Some URL description
159.132.221.147;;37;;;;;;Some IP description
5.113.155.92;;62;;;;;;Some IP description
;;99;;52384cfe6f5967809753552bd4ce0872;wjbohfak.dll;;;Some file description
;vedoxfquy.com;22;;;;;;Some domain description
17.33.70.29;;46;;;;;;Some IP description
;znxkmyz.com;70;;;;;;Some domain description
;;75;https://pcqwsjmlec.com/hptmo;;;;;Some URL description
;;6;https://erjrjsbth.com/mfxeb;;;;;Some URL description
182.144.44.58;;59;;;;;;Some IP description
50.39.80.130;;24;;;;;;Some IP description
;kanzues.com;45;;;;;;Some domain description
